Key,en,he,it,es,fr,ar
item_Speakers,Speakers,רמקולים,Altoparlanti,Altavoces,Haut-parleurs,مكبرات صوت
item_Soundbar,Soundbar,מקרן קול,Soundbar,Barra de sonido,Barre de son,ساوند بار
item_Gaming_console_PlayStation_Xbox_etc__,Gaming Console,קונסולת משחקים,Console giochi,Consola videojuegos,Console de jeux,وحدة ألعاب
item_PlayStation,PlayStation,פלייסטיישן,PlayStation,PlayStation,PlayStation,بلاي ستيشن
item_Xbox,Xbox,אקסבוקס,Xbox,Xbox,Xbox,إكس بوكس
item_Tablet_or_E_reader,Tablet,טאבלט,Tablet,Tablet,Tablette,جهاز لوحي
item_Tablet,Tablet,טאבלט,Tablet,Tablet,Tablette,جهاز لوحي
item_E_reader,E-reader,קורא ספרים דיגיטלי,E-reader,E-reader,Liseuse,قارئ إلكتروني
item_Headphones_or_wireless_earbuds,Headphones,אוזניות,Cuffie,Auriculares,Écouteurs,سماعات
item_Headphones,Headphones,אוזניות גדולות,Cuffie,Auriculares,Casque audio,سماعات رأس
item_Wireless_earbuds,Wireless Earbuds,אוזניות אלחוטיות,Auricolari wireless,Auriculares inalámbricos,Écouteurs sans fil,سماعات لاسلكية
item_Refrigerator_and_freezer,Refrigerator,מקרר,Frigorifero,Refrigerador,Réfrigérateur,ثلاجة
item_Refrigerator,Refrigerator,מקרר,Frigorifero,Refrigerador,Réfrigérateur,ثلاجة
item_Freezer,Freezer,מקפיא,Congelatore,Congelador,Congélateur,فريزر
item_Washing_machine,Washing Machine,מכונת כביסה,Lavatrice,Lavadora,Lave-linge,غسالة
item_Tumble_dryer,Dryer,מייבש כביסה,Asciugatrice,Secadora,Sèche-linge,مجفف
item_Oven_Stove,Oven / Stove,תנור/כיריים,Forno/Fornello,Horno/Estufa,Four/Cuisinière,فرن/موقد
item_Oven,Oven,תנור,Forno,Horno,Four,فرن
item_Stove,Stove,כיריים,Fornello,Estufa,Cuisinière,موقد
item_Dishwasher,Dishwasher,מדיח כלים,Lavastoviglie,Lavavajillas,Lave-vaisselle,غسالة أطباق
item_Air_conditioner,Air Conditioner,מזגן,Condizionatore,Aire acondicionado,Climatiseur,مكيف هواء
item_Vacuum_cleaner_robotic_cordless_or_regular_,Vacuum Cleaner,שואב אבק,Aspirapolvere,Aspiradora,Aspirateur,مكنسة كهربائية
item_Robotic_vacuum,Robotic Vacuum,שואב אבק רובוטי,Robot aspirapolvere,Robot aspirador,Aspirateur robot,مكنسة روبوت
item_Cordless_vacuum,Cordless Vacuum,שואב אלחוטי,Aspirapolvere senza fili,Aspiradora inalámbrica,Aspirateur sans fil,مكنسة لاسلكية
item_Regular_vacuum,Regular Vacuum,שואב אבק רגיל,Aspirapolvere,Aspiradora,Aspirateur,مكنسة عادية
item_Iron,Iron,מגהץ,Ferro da stiro,Plancha,Fer à repasser,مكواة
item_Hair_dryer_hair_straightener,Hair Dryer,פנים/מחליק,Asciugacapelli,Secador,Sèche-cheveux,مجفف شعر
item_Hair_dryer,Hair Dryer,מייבש שיער (פן),Asciugacapelli,Secador de pelo,Sèche-cheveux,مجفف شعر
item_Hair_straightener,Hair Straightener,מחליק שיער,Piastra capelli,Plancha de pelo,Fer à lisser,مملس شعر
review_tab,AI Exports,ייצוא AI,Esportazioni AI,Exportaciones de IA,Exportations IA,صادرات الذكاء الاصطناعي
reject,Reject,דחה,Rifiuta,Rechazar,Rejeter,رفض
confirm,Confirm,אישור,Conferma,Confirmar,Confirmer,تأكيد
sub_Dairy,Dairy,מוצרי חלב,Latticini,Lácteos,Produits laitiers,ألبان
sub_Eggs,Eggs,ביצים,Uova,Huevos,Œufs,بيض
sub_Meat,Meat,בשר,Carne,Carne,Viande,لحم
sub_Poultry,Poultry,עוף,Pollame,Aves,Volaille,دواجن
sub_Fish,Fish,דגים,Pesce,Pescado,Poisson,سمك
sub_Vegetables,Vegetables,ירקות,Verdure,Verduras,Légumes,خضروات
sub_Fruits,Fruits,פירות,Frutta,Frutas,Fruits,فواكه
sub_Pantry,Pantry,מזווה,Dispensa,Despensa,Garde-manger,مؤن
sub_Dry_Goods,Dry Goods,מוצרים יבשים,Prodotti secchi,Productos secos,Produits secs,مواد جافة
sub_Carbs,Carbs,פחמימות,Carboidrati,Carbohidratos,Glucides,كربوهيدرات
sub_Legumes,Legumes,קטניות,Legumi,Legumbres,Légumineuses,بقوليات
sub_Spices,Spices,תבלינים,Spezie,Especias,Épices,بهارات
sub_Baking_Goods,Baking Goods,מוצרי אפייה,Prodotti da forno,Productos de repostería,Produits de pâtisserie,مستلزمات خبز
sub_Sauces,Sauces,רטבים,Salse,Salsas,Sauces,صلصات
sub_Spreads,Spreads,ממרחים,Creme spalmabili,Untables,Pâtes à tartiner,معاجين
sub_Bread,Bread,לחם,Pane,Pan,Pain,خبز
sub_Pastries,Pastries,מאפים,Pasticcini,Pasteles,Pâtisseries,معجنات
sub_Snacks,Snacks,חטיפים,Snack,Snacks,Snacks,وجبات خفيفة
sub_Sweets,Sweets,ממתקים,Dolci,Dulces,Bonbons,حلويات
sub_Dietary_Supplements,Dietary Supplements,תוספי תזונה,Integratori alimentari,Suplementos dietéticos,Compléments alimentaires,مكملات غذائية
sub_Vitamins,Vitamins,ויטמינים,Vitamine,Vitaminas,Vitamines,فيتامينات
cat_Cleaning,Cleaning,ניקיון,Pulizia,Limpieza,Nettoyage,تنظيف
cat_Home_Maintenance,Home Maintenance,תחזוקת הבית,Manutenzione casa,Mantenimiento del hogar,Entretien de la maison,صيانة المنزل
cat_Toiletries,Toiletries,טואלטיקה,Articoli da toeletta,Artículos de aseo,Articles de toilette,لوازم الاستحمام
cat_Pharmacy,Pharmacy,פארמה,Farmacia,Farmacia,Pharmacie,صيدلية
sub_OTC_Medicines,OTC Medicines,תרופות ללא מרשם,Farmaci da banco,Medicamentos de venta libre,Médicaments en vente libre,أدوية بدون وصفة
cat_General_Supplies,General Supplies,ציוד כללי,Forniture generali,Suministros generales,Fournitures générales,لوازم عامة
cat_Home_Office_Supplies,Home Office Supplies,ציוד משרדי,Forniture per ufficio,Suministros de oficina,Fournitures de bureau,لوازم مكتبية
sub_Electrical,Electrical,חשמל,Elettrico,Eléctrico,Électrique,كهرباء
sub_Lighting,Lighting,תאורה,Illuminazione,Iluminación,Éclairage,إضاءة
sub_Miscellaneous,Miscellaneous,שונות,Varie,Miscelánea,Divers,متفرقات
sub_Maintenance,Maintenance,תחזוקה,Manutenzione,Mantenimiento,Entretien,صيانة
sub_Stationery,Stationery,מכשירי כתיבה,Cancelleria,Papelería,Papeterie,قرطاسية
sub_Desk_Supplies,Desk Supplies,ציוד לשולחן כתיבה,Forniture da scrivania,Suministros de escritorio,Fournitures de bureau,لوازم مكتبية
sub_Materials,Materials,חומרים,Materiali,Materiales,Matériaux,مواد
sub_Accessories,Accessories,אביזרים,Accessori,Accesorios,Accessoires,ملحقات
sub_Power_Tools,Power Tools,כלי עבודה חשמליים,Elettroutensili,Herramientas eléctricas,Outils électriques,أدوات كهربائية
sub_Pain_Relievers,Pain Relievers,משככי כאבים,Antidolorifici,Analgésicos,Analgésiques,مسكنات ألم
sub_Fever_Reducers,Fever Reducers,מורידי חום,Antipiretici,Antitérmicos,Antipyrétiques,خافضات حرارة
sub_Topical_Treatments,Topical Treatments,טיפולים מקומיים,Trattamenti topici,Tratamientos tópicos,Traitements topiques,علاجات موضعية
sub_Ointments,Ointments,משחות,Unguenti,Ungüentos,Pommades,مراهم
sub_Winter_Illnesses,Winter Illnesses,מחלות חורף,Malattie invernali,Enfermedades de invierno,Maladies d'hiver,أمراض الشتاء
sub_Pots,Pots,סירים,Pentole,Ollas,Casseroles,أواني
sub_Pans,Pans,מחבתות,Padelle,Sartenes,Poêles,مقالي
sub_Dinnerware,Dinnerware,כלי אוכל,Stoviglie,Vajilla,Vaisselle,أطباق
sub_Serving,Serving,הגשה,Servizio,Servir,Service,تقديم
sub_Cooking_Accessories,Cooking Accessories,אביזרי בישול,Accessori da cucina,Accesorios de cocina,Accessoires de cuisine,ملحقات الطبخ
sub_Baking_Accessories,Baking Accessories,אביזרי אפייה,Accessori da forno,Accesorios de repostería,Accessoires de pâtisserie,ملحقات الخבז
sub_Cutting_Accessories,Cutting Accessories,אביזרי חיתוך,Accessori da taglio,Accesorios de corte,Accessoires de coupe,ملحقات التقطيع
sub_Storage,Storage,אחסון,Conservazione,Almacenamiento,Rangement,تخزين
sub_Organization,Organization,ארגון,Organizzazione,Organización,Organisation,تنظيم
sub_Small_Kitchen_Appliances,Small Kitchen Appliances,מכשירי מטבח קטנים,Piccoli elettrodomestici da cucina,Pequeños electrodomésticos de cocina,Petits appareils de cuisine,أجهزة مطبخ صغيرة
cat_Entertainment,Entertainment,בידור,Intrattenimento,Entretenimiento,Divertissement,ترفيه
sub_Entertainment,Entertainment,בידור,Intrattenimento,Entretenimiento,Divertissement,ترفيه
sub_Computing,Computing,מחשוב,Informatica,Informática,Informatique,حوسبة
sub_Major_Appliances,Major Appliances,מכשירים גדולים,Grandi elettrodomestici,Electrodomésticos grandes,Gros électroménager,أجهزة رئيسية
sub_Small_Home_Appliances,Small Home Appliances,מכשירי חשמל קטנים לבית,Piccoli elettrodomestici,Pequeños electrodomésticos,Petits appareils ménagers,أجهزة منزلية صغيرة
sub_Smart_Tech,Smart Tech,טכנולוגיה חכמה,Tecnologia smart,Tecnología inteligente,Technologie intelligente,تكنولوجيا ذكية
cat_Clothing,Clothing,ביגוד,Abbigliamento,Ropa,Vêtements,ملابس
cat_Footwear,Footwear,הנעלה,Calzature,Calzado,Chaussures,أحذية
sub_Footwear,Footwear,הנעלה,Calzature,Calzado,Chaussures,أحذية
sub_Intimates,Intimates,הלבשה תחתונה,Intimo,Ropa íntima,Sous-vêtements,ملابس داخلية
sub_Loungewear,Loungewear,בגדי בית,Abbigliamento da casa,Ropa de estar por casa,Vêtements de détente,ملابس نوم
sub_Winter_Clothing,Winter Clothing,בגדי חורף,Abbigliamento invernale,Ropa de invierno,Vêtements d'hiver,ملابس شتوية
sub_Transitional_Clothing,Transitional Clothing,בגדי מעבר,Abbigliamento mezza stagione,Ropa de entretiempo,Vêtements de mi-saison,ملابس انتقالية
cat_Home_Textiles,Home Textiles,טקסטיל לבית,Tessili per la casa,Textiles para el hogar,Textiles de maison,منسوجات منزلية
cat_Bedding,Bedding,מצעים,Biancheria da letto,Ropa de cama,Literie,مفارش
sub_Bath_Textiles,Bath Textiles,טקסטיל אמבטיה,Tessili da bagno,Textiles de baño,Textiles de bain,منسوجات الحمام
sub_Kitchen_Textiles,Kitchen Textiles,טקסטיל מטבח,Tessili da cucina,Textiles de cocina,Textiles de cuisine,منسوجات المطبخ
sub_Food,Food,מזון,Cibo,Comida,Nourriture,طعام
sub_Feeding,Feeding,האכלה,Alimentazione,Alimentación,Alimentation,إطعام
sub_Care,Care,טיפוח,Cura,Cuidado,Soin,عناية
sub_Nursing,Nursing,הנקה,Allattamento,Lactancia,Allaitement,رضاعة
sub_Diapering,Diapering,החתלה,Pannolini,Cambio de pañales,Change,تغيير حفاضات
sub_Hygiene,Hygiene,היגיינה,Igiene,Higiene,Hygiène,نظافة
sub_Gear,Gear,ציוד,Attrezzatura,Equipamiento,Équipement,معدات
sub_Travel,Travel,נסיעות,Viaggio,Viaje,Voyage,سفر
cat_Outdoor,Outdoor,חוץ,Esterni,Exterior,Extérieur,خارجي
cat_Garden_Equipment,Garden Equipment,ציוד גינה,Attrezzatura da giardino,Equipo de jardín,Équipement de jardin,معدات الحديقة
sub_Gardening_Tools,Gardening Tools,כלי גינון,Attrezzi da giardinaggio,Herramientas de jardinería,Outils de jardinage,أدوات البستنة
sub_Outdoor_Maintenance,Outdoor Maintenance,תחזוקת חוץ,Manutenzione esterna,Mantenimiento exterior,Entretien extérieur,صيانة خارجية
sub_Outdoor_Living,Outdoor Living,פנאי בחוץ,Vita all'aperto,Vida al aire libre,Vie en plein air,معيشة خارجية
sub_Home_Gym_Basics,Home Gym Basics,ציוד כושר בסיסי,Basi per palestra in casa,Básicos de gimnasio en casa,Bases de gym à domicile,أساسيات الصالة الرياضية المنزلية
sub_Recovery,Recovery,התאוששות,Recupero,Recuperación,Récupération,تعافي
sub_Support,Support,תמיכה,Supporto,Soporte,Soutien,دعم
sub_Action_Figures,Action Figures,בובות פעולה,Action figures,Figuras de acción,Figurines d'action,مجسمات حركة
sub_Playsets,Playsets,ערכות משחק,Playset,Sets de juego,Ensembles de jeu,مجموعات لعب
sub_Building_Blocks,Building Blocks,קוביות בנייה,Costruzioni,Bloques de construcción,Blocs de construction,مكعبات بناء
sub_Construction,Construction,בנייה,Costruzione,Construcción,Construction,بناء
sub_Dolls,Dolls,בובות,Bambole,Muñecas,Poupées,دمى
sub_Vehicles,Vehicles,רכבים,Veicoli,Vehículos,Véhicules,مركبات
sub_Remote_Control,Remote Control,שלט רחוק,Telecomando,Control remoto,Télécommande,تحكم عن بعد
sub_Arts,Arts,אמנות,Arti,Artes,Arts,فنون
sub_Crafts,Crafts,יצירה,Mestieri,Manualidades,Bricolage,حرف
sub_Board_Games,Board Games,משחקי קופסה,Giochi da tavolo,Juegos de mesa,Jeux de société,ألعاب لوحية
sub_Puzzles,Puzzles,פאזלים,Puzzle,Puzles,Puzzles,ألغاز
sub_Plush,Plush,פרווה,Peluche,Peluche,Peluche,فרו
sub_Stuffed_Animals,Stuffed Animals,בובות פרווה,Animali di peluche,Animales de peluche,Animaux en peluche,حيوانات محشوة
sub_Educational,Educational,חינוכי,Educativo,Educativo,Éducatif,تعليمي
sub_STEM_Toys,STEM Toys,צעצועי STEM,Giocattoli STEM,Juguetes STEM,Jouets STEM,ألعاب STEM
cam_inst_avatar_main, 📸 Capture full body (incl. face), 📸 צלמי גוף מלא (כולל פנים), 📸 Cattura corpo intero, 📸 Capturar cuerpo entero, 📸 Capturer le corps entier, 📸 التقط صورة للجسم بالكامل
cam_inst_avatar_sub, Ensure good lighting and fitted clothes, וודאי תאורה טובה ובגדים צמודים, Assicurati di avere una buona luce, Asegura buena iluminación, Assurez un bon éclairage, تأكد من الإضاءة الجيدة
cam_inst_cloth_main, 👕 Place the item in the center, 👕 מקמי את הפריט במרכז, 👕 Posiziona l'oggetto al centro, 👕 Coloca el artículo en el centro, 👕 Placez l'article au centre, 👕 ضع العنصر في المنتصف
cam_inst_cloth_sub, Background will be removed (AI BG), הרקע ינוקה אוטומטית (AI BG), Lo sfondo verrà rimosso, El fondo se eliminará, Le fond sera supprimé, ستتم إزالة الخلفية
cam_inst_barcode_main, 🏷️ Scan Barcode, 🏷️ סריקת ברקוד, 🏷️ Scansiona codice, 🏷️ Escanear código, 🏷️ Scanner le code, 🏷️ مسح الباركود
cam_inst_barcode_sub, Hold the camera steady, החזיקי את המצלמה יציבה, Tieni ferma la fotocamera, Mantén la cámara firme, Gardez l'appareil photo stable, امسك الكاميرا بثبات
cam_inst_invoice_main, 🧾 Capture the invoice, 🧾 צלמי את החשבונית, 🧾 Cattura la fattura, 🧾 Captura la factura, 🧾 Capturer la facture, 🧾 التقط الفاتورة
cam_inst_invoice_sub, Ensure text is readable, וודאי שהטקסט ברור וקריא, Assicurati che il testo sia leggibile, Asegúrate de que el texto sea legible, Assurez-vous que le texte est lisible, تأكد من أن النص مقروء
cam_btn_capture_avatar, 📸 Capture Avatar, 📸 צלמי אווטר, 📸 Cattura Avatar, 📸 Capturar Avatar, 📸 Capturer Avatar, 📸 التقط الصورة الرمزية
cam_btn_capture_cloth, 📸 Capture Item, 📸 צלמי פריט, 📸 Cattura Oggetto, 📸 Capturar Artículo, 📸 Capturer l'article, 📸 التقط العنصر
cam_btn_capture_invoice, 📸 Capture Invoice, 📸 צלמי חשבונית, 📸 Cattura Fattura, 📸 Capturar Factura, 📸 Capturer la facture, 📸 التقط الفاتورة
cam_btn_scan_auto, Scanning..., סורק אוטומטית..., Scansione..., Escaneando..., Numérisation..., جارٍ المسح...
cam_btn_capture, 📸 Capture, 📸 צלמי, 📸 Cattura, 📸 Capturar, 📸 Capturer, 📸 التقاط
confirm_bulk_del,Are you sure you want to delete {0} selected items?,האם אתה בטוח שברצונך למחוק {0} פריטים נבחרים?,Sei sicuro di voler eliminare {0} elementi selezionati?,¿Estás seguro de que quieres eliminar {0} elementos seleccionados?,Êtes-vous sûr de vouloir supprimer {0} éléments sélectionnés?,هل أنت متأكد أنك تريد حذف {0} عناصر محددة؟
avatar_defined,Avatar Set,אווטר מוגדר,Avatar Impostato,Avatar Establecido,Avatar Défini,تم تعيين الصورة الرمزية
avatar_setup,Setup Avatar,הגדרת אווטר,Imposta Avatar,Configurar Avatar,Configurer l'Avatar,إعداد الصورة الرمزية
add_item,Add Item,הוסף פריט,Aggiungi Articolo,Añadir Artículo,Ajouter un Article,إضافة عنصر
wiz_profile_title,"📏 Body Profile Wizard","📏 אשף פרופיל גוף","📏 Creazione Profilo Fisico","📏 Asistente de Perfil Corporal","📏 Assistant Profil Corporel","📏 معالج الملف الشخصي للجسم"
wiz_profile_desc,"Enter your exact measurements to allow the AI to mathematically check if garments will fit you before recommending them!","הזן את המידות המדויקות שלך כדי לאפשר לבינה המלאכותית לבדוק מתמטית אם הבגדים יתאימו לך לפני שהיא ממליצה עליהם!","Inserisci le tue misure esatte per consentire all'IA di verificare matematicamente se i capi ti stanno bene prima di consigliarli!","¡Introduce tus medidas exactas para permitir que la IA verifique matemáticamente si las prendas te quedarán bien antes de recomendarlas!","Saisissez vos mensurations exactes pour permettre à l'IA de vérifier mathématiquement si les vêtements vous iront avant de les recommander !","أدخل قياساتك الدقيقة للسماح للذكاء الاصطناعي بالتحقق رياضيًا مما إذا كانت الملابس ستناسبك قبل التوصية بها!"
wiz_basic_info,"1. Basic Info","1. מידע בסיסי","1. Informazioni di base","1. Información básica","1. Informations de base","1. المعلومات الأساسية"
wiz_name_placeholder,"Name (e.g. Guy)","שם (למשל גיא)","Nome (es. Guy)","Nombre (ej. Guy)","Nom (ex. Guy)","الاسم (مثل غاي)"
wiz_weight_placeholder,"Weight (kg)","משקל (ק""ג)","Peso (kg)","Peso (kg)","Poids (kg)","الوزن (كجم)"
wiz_top_meas,"2. Top Measurements (cm)","2. מידות גוף עליון (ס""מ)","2. Misure Parte Superiore (cm)","2. Medidas Superiores (cm)","2. Mensurations Haut (cm)","2. قياسات الجزء العلوي (سم)"
wiz_chest,"Chest (Around)","חזה (היקף)","Torace (Circonferenza)","Pecho (Contorno)","Poitrine (Tour)","الصدر (محيط)"
wiz_shoulders,"Shoulders (Across)","כתפיים (רוחב)","Spalle (Larghezza)","Hombros (Ancho)","Épaules (Largeur)","الأكتاف (العرض)"
wiz_bottom_meas,"3. Bottom Measurements (cm)","3. מידות פלג גוף תחתון (ס""מ)","3. Misure Parte Inferiore (cm)","3. Medidas Inferiores (cm)","3. Mensurations Bas (cm)","3. قياسات الجزء السفلي (سم)"
wiz_waist,"Waist (Around)","מותניים (היקף)","Vita (Circonferenza)","Cintura (Contorno)","Taille (Tour)","الخصر (محيط)"
wiz_inseam,"Inseam (Length)","אורך רגל פנימי","Cavallo (Lunghezza)","Tiro (Longitud)","Entrejambe (Longueur)","طول الساق الداخلي"
wiz_save_profile,"💾 Save Body Profile","💾 שמור פרופיל גוף","💾 Salva Profilo","💾 Guardar Perfil","💾 Enregistrer le profil","💾 حفظ الملف الشخصي للجسم"
wiz_edit_profile,"📏 Edit Profile","📏 ערוך פרופיל","📏 Modifica Profilo","📏 Editar Perfil","📏 Modifier le profil","📏 تعديل الملف الشخصي"
stylist_avatar_name,"Avatar Name (e.g. Yulia)","שם אווטר (למשל יוליה)","Nome Avatar (es. Yulia)","Nombre del Avatar (ej. Yulia)","Nom de l'Avatar (ex. Yulia)","اسم الصورة الرمزية (مثل يوليا)"
stylist_my_meas,"My Body Measurements","מידות הגוף שלי","Le Mie Misure","Mis Medidas","Mes Mensurations","قياسات جسمي"
stylist_anon_user,"Anonymous User","משתמש אנונימי","Utente Anonimo","Usuario Anónimo","Utilisateur Anonyme","مستخدم مجهول"
stylist_no_meas,"No measurements set","לא הוגדרו מידות","Nessuna misura impostata","Sin medidas establecidas","Aucune mesure définie","لم يتم تعيين قياسات"
stylist_chat_placeholder,"Ask for an outfit...","בקש תלבושת...","Chiedi un outfit...","Pide un atuendo...","Demandez une tenue...","اطلب زيًا..."
stylist_welcome,"👗 Welcome to your Personal Stylist!","👗 ברוך הבא לסטייליסט האישי שלך!","👗 Benvenuto nel tuo Personal Stylist!","👗 ¡Bienvenido a tu Estilista Personal!","👗 Bienvenue chez votre styliste personnel !","👗 مرحبًا بك في مصمم الأزياء الشخصي الخاص بك!"
stylist_welcome_desc,"I can analyze the weather outside and the actual clothes in your closet.","אני יכול לנתח את מזג האוויר בחוץ ואת הבגדים שיש לך בארון.","Posso analizzare il tempo fuori e i vestiti nel tuo armadio.","Puedo analizar el clima y la ropa real de tu armario.","Je peux analyser la météo et les vêtements de votre garde-robe.","يمكنني تحليل الطقس بالخارج والملابس الفعلية في خزانتك."
stylist_welcome_hint,"Try asking: ""What should I wear for a date night?"" or use the visual wardrobe to manually Try-On your favorite pieces!","נסה לשאול: ""מה כדאי לי ללבוש לדייט?"" או השתמש בארון הוירטואלי למדידה ידנית!","Prova a chiedere: ""Cosa indosso per un appuntamento?"" o usa l'armadio visivo!","Prueba a preguntar: ""¿Qué me pongo para una cita?"" ¡o usa el armario visual!","Essayez : ""Que dois-je porter pour un rendez-vous ?"" ou utilisez la garde-robe visuelle !","جرب أن تسأل: ""ماذا يجب أن أرتدي في موعد غرامي؟"" أو استخدم الخزانة المرئية!"
stylist_analyzing,"Analyzing your wardrobe and the weather...","מנתח את הארון ומזג האוויר...","Analisi del guardaroba e del meteo...","Analizando tu armario y el clima...","Analyse de votre garde-robe et de la météo...","جاري تحليل خزانتك والطقس..."
filter_all_seasons,"🌍 All Seasons","🌍 כל העונות","🌍 Tutte le stagioni","🌍 Todas las estaciones","🌍 Toutes les saisons","🌍 جميع الفصول"
filter_summer,"☀️ Summer","☀️ קיץ","☀️ Estate","☀️ Verano","☀️ Été","☀️ صيف"
filter_winter,"❄️ Winter","❄️ חורף","❄️ Inverno","❄️ Invierno","❄️ Hiver","❄️ شتاء"
filter_spring,"🌸 Spring","🌸 אביב","🌸 Primavera","🌸 Primavera","🌸 Printemps","🌸 ربيع"
filter_fall,"🍂 Fall","🍂 סתיו","🍂 Autunno","🍂 Otoño","🍂 Automne","🍂 خريف"
filter_all_occ,"👔 All Occasions","👔 כל האירועים","👔 Tutte le occasioni","👔 Todas las ocasiones","👔 Toutes les occasions","👔 جميع المناسبات"
filter_casual,"👕 Casual","👕 יומיומי","👕 Casual","👕 Casual","👕 Décontracté","👕 كاجوال"
filter_work,"💼 Work","💼 עבודה","💼 Lavoro","💼 Trabajo","💼 Travail","💼 عمل"
filter_wedding,"👔 Wedding","👔 חתונה/רשמי","👔 Matrimonio/Elegante","👔 Boda/Formal","👔 Mariage/Formel","👔 زفاف/رسمي"
filter_gym,"🏋️ Gym","🏋️ חדר כושר","🏋️ Palestra","🏋️ Gimnasio","🏋️ Sport","🏋️ رياضة"
stylist_no_clothes,"No clean clothes found matching this filter.<br>Ensure you have added clothing to your inventory!","לא נמצאו בגדים נקיים התואמים לסינון.<br>וודא שהוספת בגדים למלאי!","Nessun vestito pulito trovato.<br>Assicurati di aver aggiunto vestiti!","No se encontró ropa limpia.<br>¡Asegúrate de haber añadido ropa!","Aucun vêtement propre trouvé.<br>Assurez-vous d'avoir ajouté des vêtements !","لم يتم العثور على ملابس نظيفة تطابق هذا الفلتر.<br>تأكد من إضافة ملابس إلى مخزونك!"
stylist_try_on_btn,"✨ Try On Selected","✨ מדוד נבחרים","✨ Prova Selezionati","✨ Probar Seleccionados","✨ Essayer la sélection","✨ تجربة المحدد"
stylist_all_items,"✨ All Items","✨ כל הפריטים","✨ Tutti gli articoli","✨ Todos los artículos","✨ Tous les articles","✨ جميع العناصر"
item_stylist_details,"👗 Stylist & Fit Details","👗 פרטי סטיילינג והתאמה","👗 Dettagli Stylist & Vestibilità","👗 Detalles de Estilo y Ajuste","👗 Détails Styliste et Coupe","👗 تفاصيل المصمم والقياس"
item_owner_placeholder,"Owner","שייך ל","Proprietario","Propietario","Propriétaire","المالك"
status_clean,"✨ Clean","✨ נקי","✨ Pulito","✨ Limpio","✨ Propre","✨ نظيف"
status_laundry,"🧺 In Laundry","🧺 בכביסה","🧺 Da Lavare","🧺 En la lavadora","🧺 Au linge","🧺 في الغسيل"
status_archived,"📦 Archived","📦 מאוחסן","📦 Archiviato","📦 Archivado","📦 Archivé","📦 مؤرشف"
item_seasons_multi,"Seasons (Multi-Select)","עונות (בחירה מרובה)","Stagioni (Selezione multipla)","Estaciones (Selección múltiple)","Saisons (Sélection multiple)","الفصول (اختيار متعدد)"
item_occ_multi,"Occasions (Multi-Select)","אירועים (בחירה מרובה)","Occasioni (Selezione multipla)","Ocasiones (Selección múltiple)","Occasions (Sélection multiple)","المناسبات (اختيار متعدد)"
item_meas_label,"Garment Measurements (cm)","מידות הבגד (ס""מ)","Misure del Capo (cm)","Medidas de la Prenda (cm)","Mensurations du vêtement (cm)","قياسات الملابس (سم)"
item_meas_placeholder,"e.g. Chest: 40, Waist: 32","למשל חזה: 40, מותניים: 32","es. Torace: 40, Vita: 32","ej. Pecho: 40, Cintura: 32","ex. Poitrine: 40, Taille: 32","مثل الصدر: 40، الخصر: 32"
item_too_small,"⚠️ Too Small","⚠️ קטן מדי","⚠️ Troppo Piccolo","⚠️ Demasiado Pequeño","⚠️ Trop Petit","⚠️ صغير جداً"
item_too_small_badge,"⚠️ Small","⚠️ קטן","⚠️ Piccolo","⚠️ Pequeño","⚠️ Petit","⚠️ صغير"
ext_app_title,📱 HO Camera App,📱 HO Camera App,📱 HO Camera App,📱 HO Camera App,📱 HO Camera App,📱 تطبيق كاميرا HO
ext_app_enable,Enable Android App Integration,אפשר חיבור לאפליקציית אנדרואיד,Abilita l'integrazione con l'app Android,Habilitar integración con aplicación Android,Activer l'intégration de l'application Android,تمكين تكامل تطبيق Android
ext_app_guide_title,🚀 Setup Guide (Easy enough for a 12-year-old!),🚀 איך מגדירים? (קל גם לילד בן 12!),🚀 Guida alla configurazione (Facile anche per un dodicenne!),🚀 Guía de configuración (¡Fácil hasta para un niño de 12 años!),🚀 Guide de configuration (Facile même pour un enfant de 12 ans !),🚀 دليل الإعداد (سهل حتى لطفل يبلغ من العمر 12 عامًا!)
ext_app_guide_intro,To access the settings in the Android app:<br>Click the camera button (📸) on the main chat screen.<br>Then click the gear icon (⚙️).<br><b>This is exactly what you will see there and what to fill out:</b>,כדי להגיע להגדרות באפליקציית האנדרואיד:<br>במסך הצ'אט הראשי לחץ על כפתור המצלמה (📸).<br>לאחר מכן לחץ על כפתור גלגל השיניים (⚙️).<br><b>זה בדיוק מה שתראה שם ומה שצריך למלא:</b>,Per accedere alle impostazioni nell'app Android:<br>Fai clic sul pulsante della fotocamera (📸) nella chat.<br>Poi fai clic sull'ingranaggio (⚙️).<br><b>Questo è ciò che vedrai e cosa compilare:</b>,Para acceder a la configuración en la aplicación:<br>Haz clic en el botón de la cámara (📸) en el chat.<br>Luego haz clic en el engranaje (⚙️).<br><b>Esto es lo que verás y lo que debes llenar:</b>,Pour accéder aux paramètres dans l'application :<br>Cliquez sur le bouton caméra (📸) dans le chat.<br>Puis cliquez sur l'engrenage (⚙️).<br><b>Voici ce que vous verrez et ce qu'il faut remplir :</b>,للوصول إلى الإعدادات في التطبيق:<br>انقر فوق زر الكاميرا (📸) في الدردشة.<br>ثم انقر فوق الترس (⚙️).<br><b>هذا ما ستراه وما يجب ملؤه:</b>
